Date,Open,High,Low,Close,Adj Close,Volume
2016-10-24,4847.25,4908.75,4842.75,4902.75,4902.75,182257
2016-10-25,4906.25,4919.5,4873.5,4886,4886,184984
2016-10-26,4874,4881.75,4839.5,4853.75,4853.75,234117
2016-10-27,4852,4880.25,4804.25,4807,4807,261342
2016-10-28,4818.25,4843.25,4786.5,4806,4806,325145
2016-10-31,4795.25,4830,4788.25,4796.75,4796.75,199169
2016-11-01,4802.75,4817,4718.75,4757.25,4757.25,307806
2016-11-02,4754.5,4768.5,4708.25,4716.75,4716.75,300313
2016-11-03,4700,4729.5,4668.25,4674.5,4674.5,280599
2016-11-04,4671.25,4695.5,4651.25,4657.75,4657.75,264048
2016-11-07,4709.75,4781.75,4709.75,4775.75,4775.75,223773
2016-11-08,4777.5,4822.5,4752.75,4802.25,4802.25,219987
2016-11-09,4807.25,4837.5,4558.5,4820.5,4820.5,719499
2016-11-10,4817.5,4879.75,4679.25,4743.75,4743.75,555100
2016-11-14,4753,4784.5,4672.75,4694.5,4694.5,285041
2016-11-15,4692.75,4779.25,4688,4766,4766,238486
2016-11-16,4765,4794.75,4736.25,4783.25,4783.25,195711
2016-11-17,4781.5,4831.5,4778,4828.5,4828.5,190166
2016-11-18,4828.75,4840.5,4803,4808.5,4808.5,168797
2016-11-21,4813.5,4862,4803.25,4854,4854,167542
2016-11-22,4858,4884.75,4857,4874.75,4874.75,157465
2016-11-23,4877.25,4882.5,4830.25,4849.5,4849.5,159650
2016-11-25,4850.5,4870,4839.5,4868.5,4868.5,75485
2016-11-28,4864.25,4879.75,4842.75,4861,4861,143185
2016-11-29,4861,4897.75,4847.5,4875,4875,175916
2016-11-30,4872.5,4885.5,4812.5,4816,4816,231494
2016-12-01,4819,4827.5,4722.75,4736.5,4736.5,291375
2016-12-02,4735.5,4759,4707.25,4738.5,4738.5,235325
2016-12-05,4719,4795.75,4701.5,4780.5,4780.5,207428
2016-12-06,4780.75,4796.5,4767.75,4786.75,4786.75,185123
2016-12-07,4788.75,4854.75,4763.5,4841.75,4841.75,232690
2016-12-08,4844.5,4869.5,4836,4863,4863,225777
2016-12-09,4861.25,4897.5,4852.5,4893.75,4893.75,133170
2016-12-12,4899,4917,4852.5,4867.75,4867.75,124198
2016-12-13,4867,4962,4861.5,4937.75,4937.75,131855
2016-12-14,4939.5,4956.5,4910.25,4931.75,4931.75,74019
2016-12-15,4928.5,4960.75,4917.5,4934.5,4934.5,48306
2016-12-16,4938,4948.25,4930.25,4943.5,4943.5,185358
2016-12-19,4915.75,4966.25,4912.5,4938.75,4938.75,146138
2016-12-20,4939.5,4963.25,4938.5,4956,4956,109979
2016-12-21,4956,4960,4939.25,4949.5,4949.5,90653
2016-12-22,4948,4953,4917,4936.5,4936.5,110522
2016-12-23,4933.75,4943.75,4922.75,4942.25,4942.25,69061
2016-12-27,4942,4994.5,4940,4961.25,4961.25,100365
2016-12-28,4961.25,4979.25,4920.25,4923.75,4923.75,136664
2016-12-29,4923.75,4933.5,4901.25,4918.5,4918.5,121556
2016-12-30,4920.5,4940,4850,4864,4864,197659
2017-01-03,4876.75,4927.5,4876.75,4906.25,4906.25,215983
2017-01-04,4906.5,4942.5,4903,4933.5,4933.5,171952
2017-01-05,4934.75,4964.25,4920.5,4962,4962,169565
2017-01-06,4962.5,5017.5,4952.5,5004,5004,183315
2017-01-09,5004.5,5029.5,5002.5,5022,5022,148112
2017-01-10,5022,5047,5007.25,5031.25,5031.25,153774
2017-01-11,5032.75,5048.25,5007.5,5046.5,5046.5,218752
2017-01-12,5044.5,5044.75,4990.25,5034.75,5034.75,212324
2017-01-13,5035.25,5063.25,5035.25,5061.25,5061.25,136613
2017-01-17,5056.25,5059,5025,5040.25,5040.25,198098
2017-01-18,5040.5,5057.25,5034,5054.5,5054.5,159690
2017-01-19,5053.25,5074.75,5036.5,5053.5,5053.5,185603
2017-01-20,5055.5,5083,5044.75,5058.25,5058.25,216184
2017-01-23,5059,5069.75,5030.25,5063.5,5063.5,181150
2017-01-24,5063.75,5104,5060,5096.25,5096.25,141578
2017-01-25,5100,5150,5099.75,5146.5,5146.5,153214
2017-01-26,5148.25,5168.5,5141.75,5147.75,5147.75,173375
2017-01-27,5144.25,5167.5,5139.25,5162.5,5162.5,138335
2017-01-30,5146.25,5154.5,5094.5,5124.5,5124.5,249340
2017-01-31,5123.5,5135,5083.25,5112.75,5112.75,214696
2017-02-01,5132,5158.25,5123,5148.5,5148.5,237364
2017-02-02,5147.75,5157.5,5119.5,5131,5131,209875
2017-02-03,5129.5,5162.25,5119.75,5155,5155,181444
2017-02-06,5157.25,5163.5,5140.25,5157.75,5157.75,145402
2017-02-07,5157,5192,5154.25,5176.75,5176.75,164423
2017-02-08,5175,5197,5163.5,5191.25,5191.25,166260
2017-02-09,5189.75,5219.25,5186.25,5212.25,5212.25,157897
2017-02-10,5211.25,5232.5,5209.75,5226.75,5226.75,147032
2017-02-13,5229.25,5261.5,5226.75,5259.25,5259.25,144520
2017-02-14,5259.25,5278,5239.75,5276,5276,166904
2017-02-15,5274.5,5313.5,5265.25,5310,5310,168262
2017-02-16,5313,5317,5288.5,5300.5,5300.5,209931
2017-02-17,5300.25,5328.75,5286.75,5325.75,5325.75,170805
2017-02-21,5323.5,5353.75,5320.5,5343.75,5343.75,192758
2017-02-22,5345.5,5355.5,5336.25,5351,5351,156582
2017-02-23,5352.5,5361.25,5310.75,5332,5332,240394
2017-02-24,5329.25,5344.5,5299,5343.25,5343.25,211944
2017-02-27,5340,5352.5,5323.25,5347.5,5347.5,153779
2017-02-28,5345,5350,5317,5332.25,5332.25,168037
2017-03-01,5334.5,5400,5332,5386,5386,241769
2017-03-02,5382.75,5393.75,5356.25,5364.75,5364.75,206020
2017-03-03,5358.75,5373.5,5344.25,5372,5372,176727
2017-03-06,5369,5374.5,5339,5361,5361,166727
2017-03-07,5354.75,5374.25,5341.5,5349.75,5349.75,180791
2017-03-08,5350,5377.25,5333.75,5363,5363,221615
2017-03-09,5362.25,5372,5335.5,5366.75,5366.75,249227
2017-03-10,5370,5395.25,5363,5382,5382,159754
2017-03-13,5381,5396.5,5371.75,5395.5,5395.5,85360
2017-03-14,5394.5,5396.75,5360,5381.5,5381.5,92067
2017-03-15,5380.5,5427.25,5376,5415.25,5415.25,63828
2017-03-16,5412.25,5440,5398.75,5413,5413,35580
2017-03-17,5411.75,5423,5405.75,5417.25,5417.25,143955
2017-03-20,5407.25,5428,5396,5418.5,5418.5,144687
2017-03-21,5415.75,5441,5330,5338.25,5338.25,414738
2017-03-22,5334.25,5376.25,5315,5365.75,5365.75,335865
2017-03-23,5365.5,5378.5,5347.25,5354.5,5354.5,269772
2017-03-24,5357,5395,5347.5,5378.75,5378.75,294980
2017-03-27,5360,5385.75,5317.25,5379,5379,276499
2017-03-28,5382.5,5424.75,5363.5,5405,5405,245032
2017-03-29,5409,5437.5,5404.75,5436,5436,173940
2017-03-30,5436,5451,5426.5,5437.5,5437.5,163121
2017-03-31,5440.75,5452.75,5421,5438.5,5438.5,166661
2017-04-03,5436.75,5455,5403.25,5434.5,5434.5,264740
2017-04-04,5432.75,5448,5406.75,5444,5444,195119
2017-04-05,5447,5481.25,5409,5416.25,5416.25,301129
2017-04-06,5414,5437.25,5390,5422.75,5422.75,287867
2017-04-07,5426.75,5436,5382.75,5421.25,5421.25,243807
2017-04-10,5420.75,5443.75,5405.75,5422.25,5422.25,197534
2017-04-11,5426.75,5429.25,5358,5401.75,5401.75,332142
2017-04-12,5402.75,5412.75,5369,5372.75,5372.75,251108
2017-04-13,5369,5399.5,5347.5,5359,5359,278784
2017-04-17,5352.75,5399.5,5347.75,5395.25,5395.25,148626
2017-04-18,5397.5,5405.25,5375.5,5389.25,5389.25,246219
2017-04-19,5389.75,5430.75,5388.75,5397.75,5397.75,213579
